t_ms,hora,dur_ms,datos_hex,raw_completo
1785343907570,18:51:47.570,321,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1D 35 1D 2A 4B 4B 00 80 00 B4 5A 9F 5D 56 7E 07 D6 73 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0B 15 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1D 35 1D 2A 4B 4B 00 80 00 B4 5A 9F 5D 56 7E 07 D6 73 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0B 15 F7 65 D2
1785343908197,18:51:48.197,296,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1D 2A 1C D4 4B 4B 00 80 00 B5 5A 9F 5D 56 61 08 05 7D 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0B 15 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1D 2A 1C D4 4B 4B 00 80 00 B5 5A 9F 5D 56 61 08 05 7D 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0B 15 F7 65 8E
1785343908800,18:51:48.800,422,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1D 09 1D 58 4A 4A 00 80 00 B4 5A 9F 5D 56 70 08 13 76 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0B 16 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1D 09 1D 58 4A 4A 00 80 00 B4 5A 9F 5D 56 70 08 13 76 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0B 16 F7 65 06
1785343909529,18:51:49.529,292,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1D 48 1D 26 4A 4A 00 80 00 B4 5A A0 5D 56 7F 08 1D 7D 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0A 16 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1D 48 1D 26 4A 4A 00 80 00 B4 5A A0 5D 56 7F 08 1D 7D 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0A 16 F7 65 33
1785343910129,18:51:50.129,323,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1C D5 1D 04 4A 4A 00 80 00 B4 5A A0 5D 56 78 08 0C 78 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 15 F7 66,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1C D5 1D 04 4A 4A 00 80 00 B4 5A A0 5D 56 78 08 0C 78 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 15 F7 66 7F
1785343910760,18:51:50.760,341,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1C 5C 1C 67 49 49 00 80 00 B5 5A A0 5D 56 63 07 E5 7D 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0A 15 F7 66,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1C 5C 1C 67 49 49 00 80 00 B5 5A A0 5D 56 63 07 E5 7D 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0A 15 F7 66 30
1785343911409,18:51:51.409,312,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1C 2F 1C 1F 49 49 00 80 00 B4 5A A0 5C 56 74 07 C0 73 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0A 15 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1C 2F 1C 1F 49 49 00 80 00 B4 5A A0 5C 56 74 07 C0 73 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0A 15 F7 65 9A
1785343912029,18:51:52.029,300,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1C 6E 1C 59 49 49 00 80 00 B4 5A A1 5C 56 77 07 C0 73 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 15 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1C 6E 1C 59 49 49 00 80 00 B4 5A A1 5C 56 77 07 C0 73 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 15 F7 65 16
1785343912639,18:51:52.639,404,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1C 2B 1B E8 48 48 00 80 00 B4 5A A1 5C 56 7E 07 D1 74 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0A 15 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1C 2B 1B E8 48 48 00 80 00 B4 5A A1 5C 56 7E 07 D1 74 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0A 15 F7 65 79
1785343913354,18:51:53.354,298,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1C 8A 1C 60 48 48 00 80 00 B4 5A A1 5C 56 7C 07 CB 76 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 15 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1C 8A 1C 60 48 48 00 80 00 B4 5A A1 5C 56 7C 07 CB 76 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 15 F7 65 4A
1785343913958,18:51:53.958,348,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1C 47 1C A9 48 48 00 80 00 B4 5A A1 5C 56 64 07 DD 73 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 08 15 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1C 47 1C A9 48 48 00 80 00 B4 5A A1 5C 56 64 07 DD 73 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 08 15 F7 65 46
1785343914611,18:51:54.611,312,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1C 21 1C 10 47 47 00 80 00 B4 5A A1 5C 56 70 07 C6 76 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 15 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1C 21 1C 10 47 47 00 80 00 B4 5A A1 5C 56 70 07 C6 76 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 15 F7 65 7E
1785343915231,18:51:55.231,352,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1B F7 1B EB 47 47 00 80 00 B4 5A A1 5C 56 6C 07 D1 77 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 15 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1B F7 1B EB 47 47 00 80 00 B4 5A A1 5C 56 6C 07 D1 77 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 15 F7 65 35
1785343915900,18:51:55.900,299,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1B F7 1B E1 47 47 00 80 00 B4 5A A1 5C 56 83 07 E0 77 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 08 15 F7 66,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1B F7 1B E1 47 47 00 80 00 B4 5A A1 5C 56 83 07 E0 77 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 08 15 F7 66 51
1785343916507,18:51:56.507,388,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1B B7 1B A6 46 46 00 80 00 B4 5A A1 5C 56 80 07 CC 73 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 15 F7 66,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1B B7 1B A6 46 46 00 80 00 B4 5A A1 5C 56 80 07 CC 73 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 15 F7 66 BA
1785343917208,18:51:57.208,292,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1B 92 1B A4 46 46 00 80 00 B4 5A A1 5C 56 6E 07 A2 75 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 15 F7 66,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1B 92 1B A4 46 46 00 80 00 B4 5A A1 5C 56 6E 07 A2 75 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 15 F7 66 59
1785343917805,18:51:57.805,323,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1B 3A 1B 4E 46 46 00 80 00 B4 5A A1 5C 56 7F 07 B4 78 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 15 F7 66,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1B 3A 1B 4E 46 46 00 80 00 B4 5A A1 5C 56 7F 07 B4 78 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 15 F7 66 D1
1785343918433,18:51:58.433,317,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1B 6E 1B 55 45 45 00 80 00 B4 5A A1 5C 56 5F 07 8F 75 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 08 15 F7 66,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1B 6E 1B 55 45 45 00 80 00 B4 5A A1 5C 56 5F 07 8F 75 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 08 15 F7 66 C2
1785343919055,18:51:59.055,296,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1B 5A 1B 08 45 45 00 80 00 B4 5A A1 5C 56 5A 07 91 7A 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 08 15 F7 66,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1B 5A 1B 08 45 45 00 80 00 B4 5A A1 5C 56 5A 07 91 7A 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 08 15 F7 66 63
1785343919661,18:51:59.661,289,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A B7 1A 90 45 45 00 80 00 B4 5A A1 5C 56 83 07 B9 73 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 14 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A B7 1A 90 45 45 00 80 00 B4 5A A1 5C 56 83 07 B9 73 66 64 0D 32 19 40 00 00 00 00 37 2A 00 00 58 09 14 F7 65 8E
