t_ms,hora,datos_hex
1785248268799,16:17:49.103,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A DD 1A C8 44 44 00 80 00 B9 58 9D 5E 54 7B 07 80 7A 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 08 15 F6 65
1785248269299,16:17:49.597,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A FD 1A 96 44 44 00 80 00 B9 58 9D 5E 54 64 07 96 7B 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 08 15 F6 65
1785248269801,16:17:50.136,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A A2 1A 50 44 44 00 80 00 B9 58 9D 5E 54 5B 07 8C 72 65 64 0D 32 19 40 00 00 00 00 3B 2D 00 00 56 09 14 F6 65
1785248270302,16:17:50.601,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A 70 1A 7F 44 44 00 80 00 B8 58 9D 5E 54 78 07 6F 77 65 64 0D 32 19 40 00 00 00 00 3B 2D 00 00 56 08 14 F6 65
1785248270803,16:17:51.080,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A 9F 1A C3 44 44 00 80 00 B8 58 9D 5E 54 83 07 79 7C 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 08 14 F6 65
1785248271305,16:17:51.601,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A 55 1A A7 44 44 00 80 00 B8 59 9D 5E 54 7D 07 91 72 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 08 14 F6 65
1785248271806,16:17:52.081,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A 92 1A F1 44 44 00 80 00 B8 59 9D 5E 54 59 07 82 75 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 08 15 F6 65
1785248272308,16:17:52.614,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A 1F 1A 58 44 44 00 80 00 B8 59 9D 5E 54 61 07 67 7A 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 08 14 F6 65
1785248272809,16:17:53.101,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A D4 1A C4 44 44 00 80 00 B8 59 9D 5E 54 74 07 5D 73 65 64 0D 32 19 40 00 00 00 00 3B 2D 00 00 56 08 14 F6 65
1785248273310,16:17:53.628,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A 8F 1A 9A 44 44 00 80 00 B8 59 9D 5E 54 6A 07 6B 74 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 08 14 F6 65
1785248273811,16:17:54.103,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A A5 1A 6A 44 44 00 80 00 B8 59 9D 5E 54 75 07 9D 7C 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 08 14 F6 65
1785248274312,16:17:54.603,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A C1 1A 5C 44 44 00 80 00 B8 59 9D 5E 54 53 07 8E 74 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 08 14 F6 65
